"name","mean","std","min","max"
"OM deposition",5.8976534410861,0.488543762072336,4.77113387790756,7.81408393973131
"Fish respiration",0.147726488906584,0.00456690874029044,0.100218220364676,0.155287200698788
"Jellyfish respiration",1.10778285383109,0.149050865625002,0.797463938455573,1.32893200774014
"Bacterial respiration",8.19579426628997,0.818146524068724,2.49084653894919,10.5929728939746
"Macrofauna respiration",86.1031274181385,3.10650191701578,73.9850473840848,107.426821298978
"Sediment respiration",89.0972176797545,3.15764633776324,74.2741778503014,111.712326605372
"Water respiration",14.2493333537403,1.19548216205842,4.3621907208519,17.7450887159281
"Total respiration",103.346551033495,3.37637497831468,78.6363685711533,129.457415321301
"Burial",23.4399999999998,0,23.4399999999998,23.4399999999998
"Total export",123.213448966538,13.5586292427021,53.7819603578219,247.618747843243
"phytoplankton uptake macrofauna",79.3977024596772,4.15635391019329,71.2891371629161,106.962911203512
"zooplankton uptake macrofauna",37.2192889507643,1.58868262621095,27.6483184564423,47.2850731021082
"SOM uptake macrofauna",55.4241763545583,6.03032509501054,36.4360442454318,102.493230707134
"SPOM uptake macrofauna",37.7044817484807,2.60244434000547,26.2322200931649,57.8342164759308
"Total uptake macrofauna",209.74564951348,7.93326714588283,161.605719957955,314.575431488685
"SOM uptake bacteria",5.09902365376747,0.935664981727926,0.408449029373346,7.34827330433102
"SPOM uptake bacteria",8.92855431772627,0.891640759597732,3.96744742434963,10.7091205960461
"Uptake water bivalves",100.48122804076,4.79444199350176,89.2280905285115,143.15417862952
"Uptake water crustaceans",1.00146183829928,0.208364781993691,0.120779378520897,3.08459015135917
"Uptake water polychaetes",33.3560654024717,1.14611433455283,24.4533608458309,38.8298975098791
"Uptake water others",19.482717877391,1.49272866828975,11.3674449596601,27.0135344907924
"Uptake SOM bivalves",4.43393584835663,3.80300108519625,0.922109652867366,27.3401453005688
"Uptake SOM crustaceans",1.0224515443921,0.112663115136202,0.411108568919988,1.99321713111679
"Uptake SOM polychaetes",2.90866213322672,0.308211397173284,1.16244953260165,5.64007968655044
"Uptake SOM others",47.0591268285829,4.66843831004013,33.9403764910428,67.5197885888976
"Total carbon outflow",250.000000000033,13.9726996294648,155.858328928975,400.516163164543
"Total carbon inflow",250,0,250,250
"Phyto->Zoo",56.0610334903747,1.0614285666746,49.7928725954658,57.8435049181322
"Zoo->SPOM",0.563090265691154,0.566396082528803,0.000150341340448737,4.71715381399198
"Phyto->SPOM",50.7002242604237,0.423515180835874,48.8743505611001,51.5004350959292
"Zoo->Fish",0.0564970008720753,0.034157235047183,0.000350615313680255,0.36230502540087
"SPOM->Fish",6.65332523133586e-05,6.2633741641109e-05,1.88495972376808e-08,0.000514600483920989
"Fish->SPOM",0.634872525585959,0.0501413842914894,0.20534787586592,0.773692034025626
"WatBac->DIC",5.20170400467392,0.590751640606154,2.20171607273257,6.30746758757994
"SPOM->WatBac",8.92855431772627,0.891640759597732,3.96744742434963,10.7091205960461
"WatBac->SPOM",0.653801049969616,0.519289318982603,5.69258321904504e-05,2.81828125142403
"Zoo->Jelly",2.63758678337872,0.601349876186678,1.1419487265669,4.96372187471552
"Jelly->SPOM",1.73715912777173,0.553599848286808,0.458151659328262,4.71218289665498
"SOM->SedBac",5.09902365376747,0.935664981727926,0.408449029373346,7.34827330433102
"SedBac->SOM",0.676158068935455,0.426145961963364,3.56969206478619e-05,1.95329611308366
"SOM->Burial",23.4399999999998,0,23.4399999999998,23.4399999999998
"SedBac->Burial",0,0,0,0
"Benthos->Fish",0.814202346151929,0.121935561337916,0.000103188410512156,6.2053737982611
"Zoo->DIC",7.79212000632874,1.02856846234075,1.26279248929908,9.95340191990924
"Fish->DIC",0.147726488906584,0.00456690874029044,0.100218220364676,0.155287200698788
"Jelly->DIC",1.10778285383109,0.149050865625002,0.797463938455573,1.32893200774014
"SedBac->DIC",2.99409026161605,0.566017874246806,0.289130466216624,4.28550530639466
"Benthos->DIC",86.1031274181385,3.10650191701578,73.9850473840848,107.426821298978
"DIC->Phyto",250,0,250,250
"Benthos->SOM",77.3896346174985,3.31602534732914,54.1788801240914,119.846154659983
"Phyto->Benthos",79.3977024596772,4.15635391019329,71.2891371629161,106.962911203512
"Zoo->Benthos",37.2192889507643,1.58868262621095,27.6483184564423,47.2850731021082
"SPOM->Benthos",37.7044817484807,2.60244434000547,26.2322200931649,57.8342164759308
"SOM->Benthos",55.4241763545583,6.03032509501054,36.4360442454318,102.493230707134
"Benthos->Benthos",26.5856892528279,3.24602263246881,0.140087133834743,89.8532743545085
"Phyto->Bivalves",69.1573066397066,4.11580715410567,62.6240237781137,95.2624342538083
"Zoo->Bivalves",7.56282957747174,0.28240874913704,6.07033130604123,8.958927827835
"SPOM->Bivalves",23.7610918235819,2.44275475594187,20.5337354443565,38.932816547877
"SOM->Bivalves",4.43393584835663,3.80300108519625,0.922109652867366,27.3401453005688
"Benthos->Bivalves",0,0,0,0
"Phyto->Crustaceans",0,0,0,0
"Zoo->Crustaceans",0.484626447587131,0.144120984662928,0.0918402764092642,1.4136033063132
"SPOM->Crustaceans",0.516835390712148,0.150482637387396,0.0289391021116325,1.67098684504596
"SOM->Crustaceans",1.0224515443921,0.112663115136202,0.411108568919988,1.99321713111679
"Benthos->Crustaceans",1.23506499985821,0.256321296374617,0.000361799248335848,7.23221239154276
"Phyto->Polychaetes",10.2364189385256,0.579142929916946,8.66455595275787,11.6895622393998
"Zoo->Polychaetes",13.0995270026171,0.58338958674597,11.3119726904906,14.6791459729613
"SPOM->Polychaetes",10.0201194613291,0.798641424339522,4.47683220258243,12.461189297518
"SOM->Polychaetes",2.90866213322672,0.308211397173284,1.16244953260165,5.64007968655044
"Benthos->Polychaetes",3.17497833178345,0.848470796907955,0.123530857329671,13.6528664690908
"Phyto->Others",0.00397688144498984,0.00166244363221449,0.000557432044551478,0.0109147103038487
"Zoo->Others",16.0723059230883,1.44327527419114,10.1741741835012,22.2333959949988
"SPOM->Others",3.40643507285764,0.38104146273567,1.19271334411431,4.76922378548977
"SOM->Others",47.0591268285829,4.66843831004013,33.9403764910428,67.5197885888976
"Benthos->Others",22.1756459211863,3.12266867123603,0.0161944772567359,68.968195493875
"Phyto->Export",63.8410397895242,2.02064869030129,51.0296092838452,67.0492453024872
"Zoo->Export",7.79245048334446,1.02885942369711,1.26810511884178,9.95312741961123
"Fish->Export",0.168395751129593,0.0460241377152131,0.00398665861388878,0.347331878625749
"Jelly->Export",1.47238806901817,0.827533490041831,0.000862352518860909,3.06917953904439
"Benthos->Export",45.4373502872347,13.3005974458769,1.47895907772897,159.639387835462
